Title,Abstract,Cleaned Abstract,Year,Citation Count
Machine Learning for High-Speed Corner Detection,,,2006,4746
Explainable AI: A Review of Machine Learning Interpretability Methods,"Recent advances in artificial intelligence (AI) have led to its widespread industrial adoption, with machine learning systems demonstrating superhuman performance in a significant number of tasks. However, this surge in performance, has often been achieved through increased model complexity, turning such systems into “black box” approaches and causing uncertainty regarding the way they operate and, ultimately, the way that they come to decisions. This ambiguity has made it problematic for machine learning systems to be adopted in sensitive yet critical domains, where their value could be immense, such as healthcare. As a result, scientific interest in the field of Explainable Artificial Intelligence (XAI), a field that is concerned with the development of new methods that explain and interpret machine learning models, has been tremendously reignited over recent years. This study focuses on machine learning interpretability methods; more specifically, a literature review and taxonomy of these methods are presented, as well as links to their programming implementations, in the hope that this survey would serve as a reference point for both theorists and practitioners.",recent advanc artifici intellig ai led widespread industri adopt machin learn system demonstr superhuman perform signific number task howev surg perform often achiev increas model complex turn system black box approach caus uncertainti regard way oper ultim way come decis ambigu made problemat machin learn system adopt sensit yet critic domain valu could immens healthcar result scientif interest field explain artifici intellig xai field concern develop new method explain interpret machin learn model tremend reignit recent year studi focus machin learn interpret method specif literatur review taxonomi method present well link program implement hope survey would serv refer point theorist practition,2020,1719
Double/Debiased Machine Learning for Treatment and Structural Parameters,"We revisit the classic semiparametric problem of inference on a low dimensional parameter θ_0 in the presence of high-dimensional nuisance parameters η_0. We depart from the classical setting by allowing for η_0 to be so high-dimensional that the traditional assumptions, such as Donsker properties, that limit complexity of the parameter space for this object break down. To estimate η_0, we consider the use of statistical or machine learning (ML) methods which are particularly well-suited to estimation in modern, very high-dimensional cases. ML methods perform well by employing regularization to reduce variance and trading off regularization bias with overfitting in practice. However, both regularization bias and overfitting in estimating η_0 cause a heavy bias in estimators of θ_0 that are obtained by naively plugging ML estimators of η_0 into estimating equations for θ_0. This bias results in the naive estimator failing to be N^(-1/2) consistent, where N is the sample size. We show that the impact of regularization bias and overfitting on estimation of the parameter of interest θ_0 can be removed by using two simple, yet critical, ingredients: (1) using Neyman-orthogonal moments/scores that have reduced sensitivity with respect to nuisance parameters to estimate θ_0, and (2) making use of cross-fitting which provides an efficient form of data-splitting. We call the resulting set of methods double or debiased ML (DML). We verify that DML delivers point estimators that concentrate in a N^(-1/2)-neighborhood of the true parameter values and are approximately unbiased and normally distributed, which allows construction of valid confidence statements. The generic statistical theory of DML is elementary and simultaneously relies on only weak theoretical requirements which will admit the use of a broad array of modern ML methods for estimating the nuisance parameters such as random forests, lasso, ridge, deep neural nets, boosted trees, and various hybrids and ensembles of these methods. We illustrate the general theory by applying it to provide theoretical properties of DML applied to learn the main regression parameter in a partially linear regression model, DML applied to learn the coefficient on an endogenous variable in a partially linear instrumental variables model, DML applied to learn the average treatment effect and the average treatment effect on the treated under unconfoundedness, and DML applied to learn the local average treatment effect in an instrumental variables setting. In addition to these theoretical applications, we also illustrate the use of DML in three empirical examples.",revisit classic semiparametr problem infer low dimension paramet presenc highdimension nuisanc paramet depart classic set allow highdimension tradit assumpt donsker properti limit complex paramet space object break estim consid use statist machin learn ml method particularli wellsuit estim modern highdimension case ml method perform well employ regular reduc varianc trade regular bia overfit practic howev regular bia overfit estim caus heavi bia estim obtain naiv plug ml estim estim equat bia result naiv estim fail n consist n sampl size show impact regular bia overfit estim paramet interest remov use two simpl yet critic ingredi use neymanorthogon momentsscor reduc sensit respect nuisanc paramet estim make use crossfit provid effici form datasplit call result set method doubl debias ml dml verifi dml deliv point estim concentr nneighborhood true paramet valu approxim unbias normal distribut allow construct valid confid statement gener statist theori dml elementari simultan reli weak theoret requir admit use broad array modern ml method estim nuisanc paramet random forest lasso ridg deep neural net boost tree variou hybrid ensembl method illustr gener theori appli provid theoret properti dml appli learn main regress paramet partial linear regress model dml appli learn coeffici endogen variabl partial linear instrument variabl model dml appli learn averag treatment effect averag treatment effect treat unconfounded dml appli learn local averag treatment effect instrument variabl set addit theoret applic also illustr use dml three empir exampl,2017,2090
SoilGrids250m: Global gridded soil information based on machine learning,"This paper describes the technical development and accuracy assessment of the most recent and improved version of the SoilGrids system at 250m resolution (June 2016 update). SoilGrids provides global predictions for standard numeric soil properties (organic carbon, bulk density, Cation Exchange Capacity (CEC), pH, soil texture fractions and coarse fragments) at seven standard depths (0, 5, 15, 30, 60, 100 and 200 cm), in addition to predictions of depth to bedrock and distribution of soil classes based on the World Reference Base (WRB) and USDA classification systems (ca. 280 raster layers in total). Predictions were based on ca. 150,000 soil profiles used for training and a stack of 158 remote sensing-based soil covariates (primarily derived from MODIS land products, SRTM DEM derivatives, climatic images and global landform and lithology maps), which were used to fit an ensemble of machine learning methods—random forest and gradient boosting and/or multinomial logistic regression—as implemented in the R packages ranger, xgboost, nnet and caret. The results of 10–fold cross-validation show that the ensemble models explain between 56% (coarse fragments) and 83% (pH) of variation with an overall average of 61%. Improvements in the relative accuracy considering the amount of variation explained, in comparison to the previous version of SoilGrids at 1 km spatial resolution, range from 60 to 230%. Improvements can be attributed to: (1) the use of machine learning instead of linear regression, (2) to considerable investments in preparing finer resolution covariate layers and (3) to insertion of additional soil profiles. Further development of SoilGrids could include refinement of methods to incorporate input uncertainties and derivation of posterior probability distributions (per pixel), and further automation of spatial modeling so that soil maps can be generated for potentially hundreds of soil variables. Another area of future research is the development of methods for multiscale merging of SoilGrids predictions with local and/or national gridded soil products (e.g. up to 50 m spatial resolution) so that increasingly more accurate, complete and consistent global soil information can be produced. SoilGrids are available under the Open Data Base License.",paper describ technic develop accuraci assess recent improv version soilgrid system resolut june updat soilgrid provid global predict standard numer soil properti organ carbon bulk densiti cation exchang capac cec ph soil textur fraction coars fragment seven standard depth cm addit predict depth bedrock distribut soil class base world refer base wrb usda classif system ca raster layer total predict base ca soil profil use train stack remot sensingbas soil covari primarili deriv modi land product srtm dem deriv climat imag global landform litholog map use fit ensembl machin learn methodsrandom forest gradient boost andor multinomi logist regressiona implement r packag ranger xgboost nnet caret result fold crossvalid show ensembl model explain coars fragment ph variat overal averag improv rel accuraci consid amount variat explain comparison previou version soilgrid km spatial resolut rang improv attribut use machin learn instead linear regress consider invest prepar finer resolut covari layer insert addit soil profil develop soilgrid could includ refin method incorpor input uncertainti deriv posterior probabl distribut per pixel autom spatial model soil map gener potenti hundr soil variabl anoth area futur research develop method multiscal merg soilgrid predict local andor nation grid soil product eg spatial resolut increasingli accur complet consist global soil inform produc soilgrid avail open data base licens,2017,2807
"Federated Learning: Collaborative Machine Learning without
Centralized Training Data","Federated learning (also known as collaborative learning) is a machine learning technique that trains
an algorithm without transferring data samples across numerous decentralized edge devices or
servers. This strategy differs from standard centralized machine learning techniques in which all local
datasets are uploaded to a single server, as well as more traditional decentralized alternatives, which
frequently presume that local data samples are uniformly distributed.
Federated learning allows several actors to collaborate on the development of a single, robust
machine learning model without sharing data, allowing crucial issues such as data privacy, data
security, data access rights, and access to heterogeneous data to be addressed. Defence,
telecommunications, internet of things, and pharmaceutical industries are just a few of the sectors
where it has applications.",feder learn also known collabor learn machin learn techniqu train algorithm without transfer data sampl across numer decentr edg devic server strategi differ standard central machin learn techniqu local dataset upload singl server well tradit decentr altern frequent presum local data sampl uniformli distribut feder learn allow sever actor collabor develop singl robust machin learn model without share data allow crucial issu data privaci data secur data access right access heterogen data address defenc telecommun internet thing pharmaceut industri sector applic,2022,650
Practical Secure Aggregation for Privacy-Preserving Machine Learning,"We design a novel, communication-efficient, failure-robust protocol for secure aggregation of high-dimensional data. Our protocol allows a server to compute the sum of large, user-held data vectors from mobile devices in a secure manner (i.e. without learning each user's individual contribution), and can be used, for example, in a federated learning setting, to aggregate user-provided model updates for a deep neural network. We prove the security of our protocol in the honest-but-curious and active adversary settings, and show that security is maintained even if an arbitrarily chosen subset of users drop out at any time. We evaluate the efficiency of our protocol and show, by complexity analysis and a concrete implementation, that its runtime and communication overhead remain low even on large data sets and client pools. For 16-bit input values, our protocol offers $1.73 x communication expansion for 210 users and 220-dimensional vectors, and 1.98 x expansion for 214 users and 224-dimensional vectors over sending data in the clear.",design novel communicationeffici failurerobust protocol secur aggreg highdimension data protocol allow server comput sum larg userheld data vector mobil devic secur manner ie without learn user individu contribut use exampl feder learn set aggreg userprovid model updat deep neural network prove secur protocol honestbutcuri activ adversari set show secur maintain even arbitrarili chosen subset user drop time evalu effici protocol show complex analysi concret implement runtim commun overhead remain low even larg data set client pool bit input valu protocol offer x commun expans user dimension vector x expans user dimension vector send data clear,2017,2810
Multimodal Machine Learning: A Survey and Taxonomy,"Our experience of the world is multimodal - we see objects, hear sounds, feel texture, smell odors, and taste flavors. Modality refers to the way in which something happens or is experienced and a research problem is characterized as multimodal when it includes multiple such modalities. In order for Artificial Intelligence to make progress in understanding the world around us, it needs to be able to interpret such multimodal signals together. Multimodal machine learning aims to build models that can process and relate information from multiple modalities. It is a vibrant multi-disciplinary field of increasing importance and with extraordinary potential. Instead of focusing on specific multimodal applications, this paper surveys the recent advances in multimodal machine learning itself and presents them in a common taxonomy. We go beyond the typical early and late fusion categorization and identify broader challenges that are faced by multimodal machine learning, namely: representation, translation, alignment, fusion, and co-learning. This new taxonomy will enable researchers to better understand the state of the field and identify directions for future research.",experi world multimod see object hear sound feel textur smell odor tast flavor modal refer way someth happen experienc research problem character multimod includ multipl modal order artifici intellig make progress understand world around u need abl interpret multimod signal togeth multimod machin learn aim build model process relat inform multipl modal vibrant multidisciplinari field increas import extraordinari potenti instead focus specif multimod applic paper survey recent advanc multimod machin learn present common taxonomi go beyond typic earli late fusion categor identifi broader challeng face multimod machin learn name represent translat align fusion colearn new taxonomi enabl research better understand state field identifi direct futur research,2017,2628
Introduction to Machine Learning,,,2018,2503
ilastik: interactive machine learning for (bio)image analysis,,,2019,2080
On Hyperparameter Optimization of Machine Learning Algorithms: Theory and Practice,,,2020,1799
Correlation-based Feature Selection for Machine Learning,"A central problem in machine learning is identifying a representative set of features from which to construct a classification model for a particular task. This thesis addresses the problem of feature selection for machine learning through a correlation based approach. The central hypothesis is that good feature sets contain features that are highly correlated with the class, yet uncorrelated with each other. A feature evaluation formula, based on ideas from test theory, provides an operational definition of this hypothesis. CFS (Correlation based Feature Selection) is an algorithm that couples this evaluation formula with an appropriate correlation measure and a heuristic search strategy. CFS was evaluated by experiments on artificial and natural datasets. Three machine learning algorithms were used: C4.5 (a decision tree learner), IB1 (an instance based learner), and naive Bayes. Experiments on artificial datasets showed that CFS quickly identifies and screens irrelevant, redundant, and noisy features, and identifies relevant features as long as their relevance does not strongly depend on other features. On natural domains, CFS typically eliminated well over half the features. In most cases, classification accuracy using the reduced feature set equaled or bettered accuracy using the complete feature set. Feature selection degraded machine learning performance in cases where some features were eliminated which were highly predictive of very small areas of the instance space. Further experiments compared CFS with a wrapper—a well known approach to feature selection that employs the target learning algorithm to evaluate feature sets. In many cases CFS gave comparable results to the wrapper, and in general, outperformed the wrapper on small datasets. CFS executes many times faster than the wrapper, which allows it to scale to larger datasets. Two methods of extending CFS to handle feature interaction are presented and experimentally evaluated. The first considers pairs of features and the second incorporates iii feature weights calculated by the RELIEF algorithm. Experiments on artificial domains showed that both methods were able to identify interacting features. On natural domains, the pairwise method gave more reliable results than using weights provided by RELIEF.",central problem machin learn identifi repres set featur construct classif model particular task thesi address problem featur select machin learn correl base approach central hypothesi good featur set contain featur highli correl class yet uncorrel featur evalu formula base idea test theori provid oper definit hypothesi cf correl base featur select algorithm coupl evalu formula appropri correl measur heurist search strategi cf evalu experi artifici natur dataset three machin learn algorithm use c decis tree learner ib instanc base learner naiv bay experi artifici dataset show cf quickli identifi screen irrelev redund noisi featur identifi relev featur long relev strongli depend featur natur domain cf typic elimin well half featur case classif accuraci use reduc featur set equal better accuraci use complet featur set featur select degrad machin learn perform case featur elimin highli predict small area instanc space experi compar cf wrappera well known approach featur select employ target learn algorithm evalu featur set mani case cf gave compar result wrapper gener outperform wrapper small dataset cf execut mani time faster wrapper allow scale larger dataset two method extend cf handl featur interact present experiment evalu first consid pair featur second incorpor iii featur weight calcul relief algorithm experi artifici domain show method abl identifi interact featur natur domain pairwis method gave reliabl result use weight provid relief,2003,3900
CrypTen: Secure Multi-Party Computation Meets Machine Learning,"Secure multi-party computation (MPC) allows parties to perform computations on data while keeping that data private. This capability has great potential for machine-learning applications: it facilitates training of machine-learning models on private data sets owned by different parties, evaluation of one party's private model using another party's private data, etc. Although a range of studies implement machine-learning models via secure MPC, such implementations are not yet mainstream. Adoption of secure MPC is hampered by the absence of flexible software frameworks that""speak the language""of machine-learning researchers and engineers. To foster adoption of secure MPC in machine learning, we present CrypTen: a software framework that exposes popular secure MPC primitives via abstractions that are common in modern machine-learning frameworks, such as tensor computations, automatic differentiation, and modular neural networks. This paper describes the design of CrypTen and measure its performance on state-of-the-art models for text classification, speech recognition, and image classification. Our benchmarks show that CrypTen's GPU support and high-performance communication between (an arbitrary number of) parties allows it to perform efficient private evaluation of modern machine-learning models under a semi-honest threat model. For example, two parties using CrypTen can securely predict phonemes in speech recordings using Wav2Letter faster than real-time. We hope that CrypTen will spur adoption of secure MPC in the machine-learning community.",secur multiparti comput mpc allow parti perform comput data keep data privat capabl great potenti machinelearn applic facilit train machinelearn model privat data set own differ parti evalu one parti privat model use anoth parti privat data etc although rang studi implement machinelearn model via secur mpc implement yet mainstream adopt secur mpc hamper absenc flexibl softwar framework thatspeak languageof machinelearn research engin foster adopt secur mpc machin learn present crypten softwar framework expo popular secur mpc primit via abstract common modern machinelearn framework tensor comput automat differenti modular neural network paper describ design crypten measur perform stateoftheart model text classif speech recognit imag classif benchmark show crypten gpu support highperform commun arbitrari number parti allow perform effici privat evalu modern machinelearn model semihonest threat model exampl two parti use crypten secur predict phonem speech record use wavlett faster realtim hope crypten spur adopt secur mpc machinelearn commun,2021,313
Applications of machine learning to machine fault diagnosis: A review and roadmap,,,2020,1720
Machine learning–accelerated computational fluid dynamics,"Significance Accurate simulation of fluids is important for many science and engineering problems but is very computationally demanding. In contrast, machine-learning models can approximate physics very quickly but at the cost of accuracy. Here we show that using machine learning inside traditional fluid simulations can improve both accuracy and speed, even on examples very different from the training data. Our approach opens the door to applying machine learning to large-scale physical modeling tasks like airplane design and climate prediction. Numerical simulation of fluids plays an essential role in modeling many physical phenomena, such as weather, climate, aerodynamics, and plasma physics. Fluids are well described by the Navier–Stokes equations, but solving these equations at scale remains daunting, limited by the computational cost of resolving the smallest spatiotemporal features. This leads to unfavorable trade-offs between accuracy and tractability. Here we use end-to-end deep learning to improve approximations inside computational fluid dynamics for modeling two-dimensional turbulent flows. For both direct numerical simulation of turbulence and large-eddy simulation, our results are as accurate as baseline solvers with 8 to 10× finer resolution in each spatial dimension, resulting in 40- to 80-fold computational speedups. Our method remains stable during long simulations and generalizes to forcing functions and Reynolds numbers outside of the flows where it is trained, in contrast to black-box machine-learning approaches. Our approach exemplifies how scientific computing can leverage machine learning and hardware accelerators to improve simulations without sacrificing accuracy or generalization.",signific accur simul fluid import mani scienc engin problem comput demand contrast machinelearn model approxim physic quickli cost accuraci show use machin learn insid tradit fluid simul improv accuraci speed even exampl differ train data approach open door appli machin learn largescal physic model task like airplan design climat predict numer simul fluid play essenti role model mani physic phenomenon weather climat aerodynam plasma physic fluid well describ navierstok equat solv equat scale remain daunt limit comput cost resolv smallest spatiotempor featur lead unfavor tradeoff accuraci tractabl use endtoend deep learn improv approxim insid comput fluid dynam model twodimension turbul flow direct numer simul turbul largeeddi simul result accur baselin solver finer resolut spatial dimens result fold comput speedup method remain stabl long simul gener forc function reynold number outsid flow train contrast blackbox machinelearn approach approach exemplifi scientif comput leverag machin learn hardwar acceler improv simul without sacrif accuraci gener,2021,745
Supervised Machine Learning: A Review of Classification Techniques,"The goal of supervised learning is to build a concise model of the distribution of class labels in terms of predictor features. The resulting classifier is then used to assign class labels to the testing instances where the values of the predictor features are known, but the value of the class label is unknown. This paper describes various supervised machine learning classification techniques. Of course, a single chapter cannot be a complete review of all supervised machine learning classification algorithms (also known induction classification algorithms), yet we hope that the references cited will cover the major theoretical issues, guiding the researcher in interesting research directions and suggesting possible bias combinations that have yet to be explored.",goal supervis learn build concis model distribut class label term predictor featur result classifi use assign class label test instanc valu predictor featur known valu class label unknown paper describ variou supervis machin learn classif techniqu cours singl chapter cannot complet review supervis machin learn classif algorithm also known induct classif algorithm yet hope refer cite cover major theoret issu guid research interest research direct suggest possibl bia combin yet explor,2007,4724
Machine Learning with Adversaries: Byzantine Tolerant Gradient Descent,"We study the resilience to Byzantine failures of distributed implementations of Stochastic Gradient Descent (SGD). So far, distributed machine learning frameworks have largely ignored the possibility of failures, especially arbitrary (i.e., Byzantine) ones. Causes of failures include software bugs, network asynchrony, biases in local datasets, as well as attackers trying to compromise the entire system. Assuming a set of n workers, up to f being Byzantine, we ask how resilient can SGD be, without limiting the dimension, nor the size of the parameter space. We first show that no gradient aggregation rule based on a linear combination of the vectors proposed by the workers (i.e, current approaches) tolerates a single Byzantine failure. We then formulate a resilience property of the aggregation rule capturing the basic requirements to guarantee convergence despite f Byzantine workers. We propose Krum, an aggregation rule that satisfies our resilience property, which we argue is the first provably Byzantine-resilient algorithm for distributed SGD. We also report on experimental evaluations of Krum.",studi resili byzantin failur distribut implement stochast gradient descent sgd far distribut machin learn framework larg ignor possibl failur especi arbitrari ie byzantin one caus failur includ softwar bug network asynchroni bias local dataset well attack tri compromis entir system assum set n worker f byzantin ask resili sgd without limit dimens size paramet space first show gradient aggreg rule base linear combin vector propos worker ie current approach toler singl byzantin failur formul resili properti aggreg rule captur basic requir guarante converg despit f byzantin worker propos krum aggreg rule satisfi resili properti argu first provabl byzantineresili algorithm distribut sgd also report experiment evalu krum,2017,1564
The use of the area under the ROC curve in the evaluation of machine learning algorithms,,,1997,6319
Gaussian Processes for Machine Learning (Adaptive Computation and Machine Learning),,,2005,4239
Federated Machine Learning,"Today’s artificial intelligence still faces two major challenges. One is that, in most industries, data exists in the form of isolated islands. The other is the strengthening of data privacy and security. We propose a possible solution to these challenges: secure federated learning. Beyond the federated-learning framework first proposed by Google in 2016, we introduce a comprehensive secure federated-learning framework, which includes horizontal federated learning, vertical federated learning, and federated transfer learning. We provide definitions, architectures, and applications for the federated-learning framework, and provide a comprehensive survey of existing works on this subject. In addition, we propose building data networks among organizations based on federated mechanisms as an effective solution to allowing knowledge to be shared without compromising user privacy.",today artifici intellig still face two major challeng one industri data exist form isol island strengthen data privaci secur propos possibl solut challeng secur feder learn beyond federatedlearn framework first propos googl introduc comprehens secur federatedlearn framework includ horizont feder learn vertic feder learn feder transfer learn provid definit architectur applic federatedlearn framework provid comprehens survey exist work subject addit propos build data network among organ base feder mechan effect solut allow knowledg share without compromis user privaci,2019,2128
A Review on Fairness in Machine Learning,"An increasing number of decisions regarding the daily lives of human beings are being controlled by artificial intelligence and machine learning (ML) algorithms in spheres ranging from healthcare, transportation, and education to college admissions, recruitment, provision of loans, and many more realms. Since they now touch on many aspects of our lives, it is crucial to develop ML algorithms that are not only accurate but also objective and fair. Recent studies have shown that algorithmic decision making may be inherently prone to unfairness, even when there is no intention for it. This article presents an overview of the main concepts of identifying, measuring, and improving algorithmic fairness when using ML algorithms, focusing primarily on classification tasks. The article begins by discussing the causes of algorithmic bias and unfairness and the common definitions and measures for fairness. Fairness-enhancing mechanisms are then reviewed and divided into pre-process, in-process, and post-process mechanisms. A comprehensive comparison of the mechanisms is then conducted, toward a better understanding of which mechanisms should be used in different scenarios. The article ends by reviewing several emerging research sub-fields of algorithmic fairness, beyond classification.",increas number decis regard daili live human be control artifici intellig machin learn ml algorithm sphere rang healthcar transport educ colleg admiss recruit provis loan mani realm sinc touch mani aspect live crucial develop ml algorithm accur also object fair recent studi shown algorithm decis make may inher prone unfair even intent articl present overview main concept identifi measur improv algorithm fair use ml algorithm focus primarili classif task articl begin discus caus algorithm bia unfair common definit measur fair fairnessenhanc mechan review divid preprocess inprocess postprocess mechan comprehens comparison mechan conduct toward better understand mechan use differ scenario articl end review sever emerg research subfield algorithm fair beyond classif,2022,383
Educational data mining: prediction of students' academic performance using machine learning algorithms,,,2022,292
Challenges and opportunities in quantum machine learning,,,2022,316
Human-in-the-loop machine learning: a state of the art,,,2022,298
Classification Based on Decision Tree Algorithm for Machine Learning,"Decision tree classifiers are regarded to be a standout of the most well-known methods to data classification representation of classifiers. Different researchers from various fields and backgrounds have considered the problem of extending a decision tree from available data, such as machine study, pattern recognition, and statistics. In various fields such as medical disease analysis, text classification, user smartphone classification, images, and many more the employment of Decision tree classifiers has been proposed in many ways. This paper provides a detailed approach to the decision trees. Furthermore, paper specifics, such as algorithms/approaches used, datasets, and outcomes achieved, are evaluated and outlined comprehensively. In addition, all of the approaches analyzed were discussed to illustrate the themes of the authors and identify the most accurate classifiers. As a result, the uses of different types of datasets are discussed and their findings are analyzed.",decis tree classifi regard standout wellknown method data classif represent classifi differ research variou field background consid problem extend decis tree avail data machin studi pattern recognit statist variou field medic diseas analysi text classif user smartphon classif imag mani employ decis tree classifi propos mani way paper provid detail approach decis tree furthermor paper specif algorithmsapproach use dataset outcom achiev evalu outlin comprehens addit approach analyz discus illustr theme author identifi accur classifi result use differ type dataset discus find analyz,2021,1036
SecureML: A System for Scalable Privacy-Preserving Machine Learning,"Machine learning is widely used in practice to produce predictive models for applications such as image processing, speech and text recognition. These models are more accurate when trained on large amount of data collected from different sources. However, the massive data collection raises privacy concerns. In this paper, we present new and efficient protocols for privacy preserving machine learning for linear regression, logistic regression and neural network training using the stochastic gradient descent method. Our protocols fall in the two-server model where data owners distribute their private data among two non-colluding servers who train various models on the joint data using secure two-party computation (2PC). We develop new techniques to support secure arithmetic operations on shared decimal numbers, and propose MPC-friendly alternatives to non-linear functions such as sigmoid and softmax that are superior to prior work. We implement our system in C++. Our experiments validate that our protocols are several orders of magnitude faster than the state of the art implementations for privacy preserving linear and logistic regressions, and scale to millions of data samples with thousands of features. We also implement the first privacy preserving system for training neural networks.",machin learn wide use practic produc predict model applic imag process speech text recognit model accur train larg amount data collect differ sourc howev massiv data collect rais privaci concern paper present new effici protocol privaci preserv machin learn linear regress logist regress neural network train use stochast gradient descent method protocol fall twoserv model data owner distribut privat data among two noncollud server train variou model joint data use secur twoparti comput pc develop new techniqu support secur arithmet oper share decim number propos mpcfriendli altern nonlinear function sigmoid softmax superior prior work implement system c experi valid protocol sever order magnitud faster state art implement privaci preserv linear logist regress scale million data sampl thousand featur also implement first privaci preserv system train neural network,2017,1714
A guide to machine learning for biologists,,,2021,928
Machine learning and deep learning,,,2021,1006
Interpretable Machine Learning: Fundamental Principles and 10 Grand Challenges,"Interpretability in machine learning (ML) is crucial for high stakes decisions and troubleshooting. In this work, we provide fundamental principles for interpretable ML, and dispel common misunderstandings that dilute the importance of this crucial topic. We also identify 10 technical challenge areas in interpretable machine learning and provide history and background on each problem. Some of these problems are classically important, and some are recent problems that have arisen in the last few years. These problems are: (1) Optimizing sparse logical models such as decision trees; (2) Optimization of scoring systems; (3) Placing constraints into generalized additive models to encourage sparsity and better interpretability; (4) Modern case-based reasoning, including neural networks and matching for causal inference; (5) Complete supervised disentanglement of neural networks; (6) Complete or even partial unsupervised disentanglement of neural networks; (7) Dimensionality reduction for data visualization; (8) Machine learning models that can incorporate physics and other generative or causal constraints; (9) Characterization of the""Rashomon set""of good models; and (10) Interpretable reinforcement learning. This survey is suitable as a starting point for statisticians and computer scientists interested in working in interpretable machine learning.",interpret machin learn ml crucial high stake decis troubleshoot work provid fundament principl interpret ml dispel common misunderstand dilut import crucial topic also identifi technic challeng area interpret machin learn provid histori background problem problem classic import recent problem arisen last year problem optim spar logic model decis tree optim score system place constraint gener addit model encourag sparsiti better interpret modern casebas reason includ neural network match causal infer complet supervis disentangl neural network complet even partial unsupervis disentangl neural network dimension reduct data visual machin learn model incorpor physic gener causal constraint character therashomon setof good model interpret reinforc learn survey suitabl start point statistician comput scientist interest work interpret machin learn,2021,578
MRI-Based Brain Tumor Classification Using Ensemble of Deep Features and Machine Learning Classifiers,"Brain tumor classification plays an important role in clinical diagnosis and effective treatment. In this work, we propose a method for brain tumor classification using an ensemble of deep features and machine learning classifiers. In our proposed framework, we adopt the concept of transfer learning and uses several pre-trained deep convolutional neural networks to extract deep features from brain magnetic resonance (MR) images. The extracted deep features are then evaluated by several machine learning classifiers. The top three deep features which perform well on several machine learning classifiers are selected and concatenated as an ensemble of deep features which is then fed into several machine learning classifiers to predict the final output. To evaluate the different kinds of pre-trained models as a deep feature extractor, machine learning classifiers, and the effectiveness of an ensemble of deep feature for brain tumor classification, we use three different brain magnetic resonance imaging (MRI) datasets that are openly accessible from the web. Experimental results demonstrate that an ensemble of deep features can help improving performance significantly, and in most cases, support vector machine (SVM) with radial basis function (RBF) kernel outperforms other machine learning classifiers, especially for large datasets.",brain tumor classif play import role clinic diagnosi effect treatment work propos method brain tumor classif use ensembl deep featur machin learn classifi propos framework adopt concept transfer learn use sever pretrain deep convolut neural network extract deep featur brain magnet reson mr imag extract deep featur evalu sever machin learn classifi top three deep featur perform well sever machin learn classifi select concaten ensembl deep featur fed sever machin learn classifi predict final output evalu differ kind pretrain model deep featur extractor machin learn classifi effect ensembl deep featur brain tumor classif use three differ brain magnet reson imag mri dataset openli access web experiment result demonstr ensembl deep featur help improv perform significantli case support vector machin svm radial basi function rbf kernel outperform machin learn classifi especi larg dataset,2021,341
MoleculeNet: a benchmark for molecular machine learning,"A large scale benchmark for molecular machine learning consisting of multiple public datasets, metrics, featurizations and learning algorithms.",larg scale benchmark molecular machin learn consist multipl public dataset metric featur learn algorithm,2017,1631
Understanding Machine Learning - From Theory to Algorithms,"Machine learning is one of the fastest growing areas of computer science, with far-reaching applications. The aim of this textbook is to introduce machine learning, and the algorithmic paradigms it offers, in a principled way. The book provides an extensive theoretical account of the fundamental ideas underlying machine learning and the mathematical derivations that transform these principles into practical algorithms. Following a presentation of the basics of the field, the book covers a wide array of central topics that have not been addressed by previous textbooks. These include a discussion of the computational complexity of learning and the concepts of convexity and stability ; important algorithmic paradigms including stochastic gradient descent, neural networks, and structured output learning ; and emerging theoretical concepts such as the PACBayes approach and compression-based bounds. Designed for an advanced undergraduate or beginning graduate course, the text makes the fundamentals and algorithms of machine learning accessible to students and nonexpert readers in statistics, computer science, mathematics, and engineering.",machin learn one fastest grow area comput scienc farreach applic aim textbook introduc machin learn algorithm paradigm offer principl way book provid extens theoret account fundament idea underli machin learn mathemat deriv transform principl practic algorithm follow present basic field book cover wide array central topic address previou textbook includ discus comput complex learn concept convex stabil import algorithm paradigm includ stochast gradient descent neural network structur output learn emerg theoret concept pacbay approach compressionbas bound design advanc undergradu begin graduat cours text make fundament algorithm machin learn access student nonexpert reader statist comput scienc mathemat engin,2014,2863
Machine Learning With Python,,,2019,2111
